split,pair_type,pair_id,content_id,condition_id,scene_id,sigma_DN,seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,pair_gate_pass,failure_reason
training,G,train_content_000_low_G,content_000,low,single_unknown_source_group,91.4432,1902225311,0.18029606598635595,91.61340825763001,0.0018613550010280542,0.00476847356185317,-0.0014917850494384766,0.0,0.0,0.0,0.0,0.18029606439797785,2.056895976925886,0.5,0.5,True,
training,CG_SHARED,train_content_000_low_CG_SHARED,content_000,low,single_unknown_source_group,55.29993549356029,1902225311,0.10903336499237803,55.40286641883065,0.0018613208921797627,0.004768555983901024,-0.0014920234680175781,0.0,0.0,0.0,0.0,0.10903337627640397,1.3876150788904487,0.5,0.5,True,
training,G,train_content_000_mid_G,content_000,mid,single_unknown_source_group,91.4432,3437981000,0.1671489256478207,91.51230692637417,0.0007557360894430756,0.003801797516644001,0.0077686309814453125,0.0,0.0,0.0,0.0,0.16714893410920695,1.4131613906968261,0.5,0.5,True,
training,CG_SHARED,train_content_000_mid_CG_SHARED,content_000,mid,single_unknown_source_group,88.23103152697934,3437981000,0.1612773998274284,88.2977091512432,0.0007557162498261369,0.0038018706254661083,0.007768392562866211,0.0,0.0,0.0,0.0,0.1612773158979941,1.384688179738039,0.5,0.5,True,
training,G,train_content_000_high_G,content_000,high,single_unknown_source_group,91.4432,1677511284,-0.10910115489039715,91.52456608836897,0.0008897992236597845,-0.002529524965211749,0.00978231430053711,0.0,0.0,0.0,0.0,-0.10910119904082194,1.1451180226915116,0.5,0.5,True,
training,CG_SHARED,train_content_000_high_CG_SHARED,content_000,high,single_unknown_source_group,148.4405090006516,1677511284,-0.17710484265783338,148.57259669728197,0.0008898359182384557,-0.002529559191316366,0.009782552719116211,0.0,0.0,0.0,0.0,-0.17710477651196044,1.382848105700361,0.5,0.5,True,
training,G,train_content_001_low_G,content_001,low,single_unknown_source_group,91.4432,3005535410,-0.017451935591374923,91.28817771129764,0.0016952850370762324,0.003220256185159087,-0.010082721710205078,0.0,0.0,0.0,0.0,-0.01745196693820006,2.058698511817902,0.5,0.5,True,
training,CG_SHARED,train_content_001_low_CG_SHARED,content_001,low,single_unknown_source_group,55.29993549356029,3005535410,-0.010553995567629482,55.20618444035889,0.0016953193953059677,0.0032201914582401514,-0.010083436965942383,0.0,0.0,0.0,0.0,-0.010553924501279788,1.3868096603328175,0.5,0.5,True,
training,G,train_content_001_mid_G,content_001,mid,single_unknown_source_group,91.4432,729993863,-0.12178559611273843,91.5111866430474,0.0007434849507387183,0.002538895234465599,-0.00136566162109375,0.0,0.0,0.0,0.0,-0.12178565935074381,1.4188472812323765,0.5,0.5,True,
training,CG_SHARED,train_content_001_mid_CG_SHARED,content_001,mid,single_unknown_source_group,88.23103152697934,729993863,-0.11750757584753801,88.29662821170879,0.0007434650099199879,0.002538935514166951,-0.0013663768768310547,0.0,0.0,0.0,0.0,-0.11750765480120329,1.3899535640178315,0.5,0.5,True,
