content_id,source_pair_key,absolute_path,relative_path,filename,sha256,file_size,modified_time,dtype,shape,roi_top,roi_left,roi_height,roi_width,full_mean_dn,full_std_dn,full_p1_dn,full_p50_dn,full_p99_dn,roi_mean_dn,roi_std_dn,roi_p1_dn,roi_p50_dn,roi_p99_dn,zero_ratio,saturation_ratio,source_scene,source_group,isolation_block_id,acquisition_order,processing_status,preprocessing,allowed_role,exclusion_reason,provenance_report,source_audit_status
content_000,15ms_to_500ms_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,P251621100000.tif,P251621100000.tif,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,8394874,2025-09-25T08:21:12,uint16,2048x2048,768,768,512,512,17818.19527053833,7204.300291360095,7957.0,15919.0,41692.0,13987.384021759031,3927.489593118332,7959.43,13448.0,32250.41000000009,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,0,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_001,15ms_to_500ms_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,P251621110001.tif,P251621110001.tif,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,8394874,2025-09-25T08:21:12,uint16,2048x2048,768,768,512,512,17886.999021053314,7205.97226754157,8032.0,15991.0,41688.0,14075.20463180542,3908.880400384748,8116.0,13528.0,32137.130000000063,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,1,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_002,15ms_to_500ms_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,P251621110002.tif,P251621110002.tif,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,8394874,2025-09-25T08:21:12,uint16,2048x2048,768,768,512,512,17849.91801571846,7202.752534509379,8007.0,15938.0,41657.0,14039.882427215576,3912.709485388245,8137.0,13488.0,32109.570000000007,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,2,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_003,15ms_to_500ms_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,P251621120003.tif,P251621120003.tif,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,8394874,2025-09-25T08:21:14,uint16,2048x2048,768,768,512,512,17833.935857772827,7210.3008639281,7970.0,15929.0,41692.0,14008.418361663818,3927.847082077662,7986.0,13467.0,32165.560000000056,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,3,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_004,15ms_to_500ms_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,P251621120004.tif,P251621120004.tif,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,8394874,2025-09-25T08:21:14,uint16,2048x2048,768,768,512,512,17886.805400133133,7227.22257712199,7995.0,15976.0,41777.0,14095.020023345947,3944.028542997135,8032.43,13555.0,32433.0,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,4,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_005,15ms_to_500ms_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,P251621130005.tif,P251621130005.tif,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,8394874,2025-09-25T08:21:14,uint16,2048x2048,768,768,512,512,18921.940554380417,7656.465160705883,8104.0,17018.0,43328.96999999974,15356.639362335203,4444.410951862511,8274.0,14842.0,37729.57000000001,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,5,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_006,15ms_to_500ms_006,F:\目标传感器噪声参数估计\data\500ms\P251621130006.tif,P251621130006.tif,P251621130006.tif,c03bec1b78e68f54b17cc0bd537848a73d26c4ee6028feb09174d7e4e61f4229,8394874,2025-09-25T08:21:14,uint16,2048x2048,768,768,512,512,19692.99443411827,8045.782401285875,8101.0,17813.0,44785.0,16435.023273468018,4869.77099963173,8380.0,15987.0,40856.140000000014,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,6,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_007,15ms_to_500ms_007,F:\目标传感器噪声参数估计\data\500ms\P251621140007.tif,P251621140007.tif,P251621140007.tif,a62de1b09dd54e4e8b2b5a216d6c3d464035e35fac308c066f429c4483d889af,8394874,2025-09-25T08:21:16,uint16,2048x2048,768,768,512,512,19270.81295490265,8012.073899846441,7854.0,17387.0,44687.0,15988.384998321531,4846.82513104534,7997.43,15509.0,40745.0,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,7,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_008,15ms_to_500ms_008,F:\目标传感器噪声参数估计\data\500ms\P251621140008.tif,P251621140008.tif,P251621140008.tif,38a2a28c373821b15f0f7d74538f2a5638545682037d542a91b15dfa8e2f8dcd,8394874,2025-09-25T08:21:16,uint16,2048x2048,768,768,512,512,18866.488184452057,7939.786010722353,7633.0,16981.0,44489.0,15644.016048431396,4790.9115531411335,7886.86,15187.0,40352.140000000014,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,8,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
content_009,15ms_to_500ms_009,F:\目标传感器噪声参数估计\data\500ms\P251621150009.tif,P251621150009.tif,P251621150009.tif,ab75d05accdfcd2423921ca0caad000be1c2fe8557e1fb52d0de7cd1750a4696,8394874,2025-09-25T08:21:16,uint16,2048x2048,768,768,512,512,18309.99004411697,7804.857639044248,7398.0,16411.0,43963.0,15048.499168395996,4673.4567176361015,7602.0,14562.0,39513.140000000014,0.0,0.0004842281341552,unknown,source_group_unknown,single_unknown_source_group,9,unknown,raw_uint16.astype(np.float32)/65535.0,debug_only,No independently validated content source exists for formal validation,reports/e2_no_dark_input_recheck_20260717,VERIFIED-INPUT-WITH-LIMITATIONS
