split,pair_type,pair_id,content_id,condition_id,scene_id,sigma_DN,seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN,pair_gate_pass,failure_reason
training,G,train_content_000_low_G,content_000,low,single_unknown_source_group,91.4432,2179588939,0.3260862362148762,91.51068320987886,0.0007379795313250025,-0.003048184560611844,0.013072729110717773,0.0,0.0,0.0,0.0,0.3260861661496861,2.0538913719358054,0.5,0.5,512,512,262144,0.1786,1.8257907962759026,-7.006519009422618e-08,True,
training,CG_SHARED,train_content_000_low_CG_SHARED,content_000,low,single_unknown_source_group,55.29993549356029,2179588939,0.19719943837180676,55.340743834505915,0.0007379455433610057,-0.0030482537113130093,0.013072967529296875,0.0,0.0,0.0,0.0,0.19719937598437376,1.3861166899154216,0.5,0.5,512,512,262144,0.10800768651085994,1.8257907815845937,-6.23874329974683e-08,True,
training,G,train_content_000_mid_G,content_000,mid,single_unknown_source_group,91.4432,3931316008,0.16960541475494395,91.23012753407535,0.00233010727888628,-0.0035559525713324547,0.00458979606628418,0.0,0.0,0.0,0.0,0.16960541556353625,1.4070778943881057,0.5,0.5,512,512,262144,0.1786,0.9496383804868082,8.085923042244758e-10,True,
training,CG_SHARED,train_content_000_mid_CG_SHARED,content_000,mid,single_unknown_source_group,88.23103152697934,3931316008,0.1636475966616877,88.02544201795706,0.0023301270025320913,-0.003556032432243228,0.0045888423919677734,0.0,0.0,0.0,0.0,0.16364749207494533,1.3788888054021031,0.5,0.5,512,512,262144,0.17232623345113152,0.9496383306497272,-1.0458674237767696e-07,True,
training,G,train_content_000_high_G,content_000,high,single_unknown_source_group,91.4432,2457697530,-0.17960039040806441,91.65180933954592,0.0022812996433405203,0.0012940593296661973,-0.004582405090332031,0.0,0.0,0.0,0.0,-0.1796002275170494,1.145169349893462,0.5,0.5,512,512,262144,0.1786,-1.005601290078748,1.6289101500976955e-07,True,
training,CG_SHARED,train_content_000_high_CG_SHARED,content_000,high,single_unknown_source_group,148.4405090006516,2457697530,-0.2915468249044948,148.77915175045922,0.002281336490203941,0.001294050831347704,-0.004583597183227539,0.0,0.0,0.0,0.0,-0.29154703158004835,1.3834649826275074,0.5,0.5,512,512,262144,0.28992286914189763,-1.005601337236361,-2.0667555356013168e-07,True,
training,G,train_content_001_low_G,content_001,low,single_unknown_source_group,91.4432,1868172075,-0.007393341854483093,91.3429649091099,0.0010961459232628483,-0.004342313390225172,0.0002617835998535156,0.0,0.0,0.0,0.0,-0.007393289931574287,2.072863274498227,0.5,0.5,512,512,262144,0.1786,-0.04139609101054363,5.1922908805845935e-08,True,
training,CG_SHARED,train_content_001_low_CG_SHARED,content_001,low,single_unknown_source_group,55.29993549356029,1868172075,-0.0044710988526386886,55.239316800385204,0.0010961801787661403,-0.00434243306517601,0.00026035308837890625,0.0,0.0,0.0,0.0,-0.004471080139936134,1.3943798254328785,0.5,0.5,512,512,262144,0.10800768651085994,-0.04139611723087069,1.87127025541578e-08,True,
training,G,train_content_001_mid_G,content_001,mid,single_unknown_source_group,91.4432,542897544,0.06581527725143732,91.59658948870553,0.0016774291440536668,-0.007506249006837606,-0.0029604434967041016,0.0,0.0,0.0,0.0,0.06581531422253484,1.414807907898222,0.5,0.5,512,512,262144,0.1786,0.36850659155340043,3.697109751676919e-08,True,
training,CG_SHARED,train_content_001_mid_CG_SHARED,content_001,mid,single_unknown_source_group,88.23103152697934,542897544,0.06350334925656353,88.37903105488806,0.0016774090175231376,-0.007506379391998053,-0.0029609203338623047,0.0,0.0,0.0,0.0,0.06350334155873938,1.3860152532085397,0.5,0.5,512,512,262144,0.17232623345113152,0.36850657026965017,-7.697824155883382e-09,True,
