pair_id,content_id,absolute_path,content_sha256,seed,roi_top,roi_left,roi_height,roi_width,allowed_role,patch_mean_DN,signal_in_calibration_range,predicted_sigma_raw_DN,predicted_sigma_used_DN,extrapolation_flag,g_sigma_DN,cg_pair_valid,failure_reason,synthetic_generated
content_000_20260717,content_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,20260717,768,768,512,512,exploratory_training_only,13987.384021759031,False,827.1685367190587,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_000_20260718,content_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,20260718,768,768,512,512,exploratory_training_only,13987.384021759031,False,827.1685367190587,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_000_20260719,content_000,F:\目标传感器噪声参数估计\data\500ms\P251621100000.tif,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,20260719,768,768,512,512,exploratory_training_only,13987.384021759031,False,827.1685367190587,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_001_20260717,content_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,20260717,768,768,512,512,exploratory_training_only,14075.20463180542,False,832.3619628373981,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_001_20260718,content_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,20260718,768,768,512,512,exploratory_training_only,14075.20463180542,False,832.3619628373981,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_001_20260719,content_001,F:\目标传感器噪声参数估计\data\500ms\P251621110001.tif,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,20260719,768,768,512,512,exploratory_training_only,14075.20463180542,False,832.3619628373981,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_002_20260717,content_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,20260717,768,768,512,512,exploratory_training_only,14039.882427215576,False,830.2731221907967,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_002_20260718,content_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,20260718,768,768,512,512,exploratory_training_only,14039.882427215576,False,830.2731221907967,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_002_20260719,content_002,F:\目标传感器噪声参数估计\data\500ms\P251621110002.tif,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,20260719,768,768,512,512,exploratory_training_only,14039.882427215576,False,830.2731221907967,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_003_20260717,content_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,20260717,768,768,512,512,exploratory_training_only,14008.418361663818,False,828.4124393768271,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_003_20260718,content_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,20260718,768,768,512,512,exploratory_training_only,14008.418361663818,False,828.4124393768271,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_003_20260719,content_003,F:\目标传感器噪声参数估计\data\500ms\P251621120003.tif,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,20260719,768,768,512,512,exploratory_training_only,14008.418361663818,False,828.4124393768271,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_004_20260717,content_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,20260717,768,768,512,512,exploratory_training_only,14095.020023345947,False,833.5337808413648,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_004_20260718,content_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,20260718,768,768,512,512,exploratory_training_only,14095.020023345947,False,833.5337808413648,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_004_20260719,content_004,F:\目标传感器噪声参数估计\data\500ms\P251621120004.tif,956b882b38b9dfdeace0de1e9df0385f5491677e5e799cd0e621e1ccbea9bf35,20260719,768,768,512,512,exploratory_training_only,14095.020023345947,False,833.5337808413648,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_005_20260717,content_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,20260717,768,768,512,512,exploratory_training_only,15356.639362335203,False,908.1418577272792,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
content_005_20260718,content_005,F:\目标传感器噪声参数估计\data\500ms\P251621130005.tif,98598ee69a182c6c2ad1243e388b09e1a3a0de50819b64ab5f93c31ad824d51b,20260718,768,768,512,512,exploratory_training_only,15356.639362335203,False,908.1418577272792,,True,91.4432,False,SIGMA_SAFETY_LIMIT_EXCEEDED,False
